S.No,Category (Landing Page),Sub Category,Product / Service Name,Type,Unit Mapping,Alt / Secondary Units,Quantity Parameters
8064,Cyber Security Services,Data Protection,Cyber Security Services Support Service - Data Protection Option 5,Service,Per Project,Contract,1
8065,Cyber Security Services,VAPT,Cyber Security Services Product B - VAPT Type 1,Product,Box,Carton,80
8066,Cyber Security Services,VAPT,Cyber Security Services Product C - VAPT Type 2,Product,Bag,Pallet,85
8067,Cyber Security Services,VAPT,Cyber Security Services Item Premium - VAPT Type 3,Product,Unit,Lot,90
8068,Cyber Security Services,VAPT,Cyber Security Services Item Standard - VAPT Type 4,Product,License,Subscription,95
8069,Cyber Security Services,VAPT,Cyber Security Services Item Economy - VAPT Type 5,Product,Service,Contract,100
8070,Cyber Security Services,VAPT,Cyber Security Services Model X1 - VAPT Type 6,Product,Ton,MT,105
8071,Cyber Security Services,VAPT,Cyber Security Services Model X2 - VAPT Type 7,Product,Pack,Carton,110
8072,Cyber Security Services,VAPT,Cyber Security Services Model Pro - VAPT Type 8,Product,Gram,Kg,115
8073,Cyber Security Services,VAPT,Cyber Security Services Solution Basic - VAPT Type 9,Product,Can,Pallet,120
8074,Cyber Security Services,VAPT,Cyber Security Services Solution Advanced - VAPT Type 10,Product,Book,Box,125
8075,Cyber Security Services,VAPT,Cyber Security Services Solution Enterprise - VAPT Type 11,Product,Certificate,Lot,130
8076,Cyber Security Services,VAPT,Cyber Security Services Pack Small - VAPT Type 12,Product,Credit,Pack,135
8077,Cyber Security Services,VAPT,Cyber Security Services Pack Medium - VAPT Type 13,Product,Per Filing,Annual,140
8078,Cyber Security Services,VAPT,Cyber Security Services Pack Large - VAPT Type 14,Product,Per Month,Annual,145
8079,Cyber Security Services,VAPT,Cyber Security Services Kit Starter - VAPT Type 15,Product,Per Hour,Monthly,150
8080,Cyber Security Services,VAPT,Cyber Security Services Kit Professional - VAPT Type 16,Product,Per Project,Contract,155
8081,Cyber Security Services,VAPT,Cyber Security Services Standard Service - VAPT Option 1,Service,Per Project,Contract,1
8082,Cyber Security Services,VAPT,Cyber Security Services Premium Service - VAPT Option 2,Service,Per Project,Contract,1
8083,Cyber Security Services,VAPT,Cyber Security Services Consultation - VAPT Option 3,Service,Per Project,Contract,1
8084,Cyber Security Services,VAPT,Cyber Security Services Management Service - VAPT Option 4,Service,Per Project,Contract,1
8085,Cyber Security Services,VAPT,Cyber Security Services Support Service - VAPT Option 5,Service,Per Project,Contract,1
8086,Cyber Security Services,Security Audit,Cyber Security Services Product B - Security Audit Type 1,Product,Per Animal,Annual,185
8087,Cyber Security Services,Security Audit,Cyber Security Services Product C - Security Audit Type 2,Product,Sheet,Box,190
8088,Cyber Security Services,Security Audit,Cyber Security Services Item Premium - Security Audit Type 3,Product,Roll,Pallet,195
8089,Cyber Security Services,Security Audit,Cyber Security Services Item Standard - Security Audit Type 4,Product,Sqft,Sqmt,200
8090,Cyber Security Services,Security Audit,Cyber Security Services Item Economy - Security Audit Type 5,Product,Sqmt,Acre,205
8091,Cyber Security Services,Security Audit,Cyber Security Services Model X1 - Security Audit Type 6,Product,Kg,Ton,210
8092,Cyber Security Services,Security Audit,Cyber Security Services Model X2 - Security Audit Type 7,Product,Litre,Barrel,215
8093,Cyber Security Services,Security Audit,Cyber Security Services Model Pro - Security Audit Type 8,Product,Piece,Dozen,220
8094,Cyber Security Services,Security Audit,Cyber Security Services Solution Basic - Security Audit Type 9,Product,Set,Lot,225
8095,Cyber Security Services,Security Audit,Cyber Security Services Solution Advanced - Security Audit Type 10,Product,Meter,Roll,230
8096,Cyber Security Services,Security Audit,Cyber Security Services Solution Enterprise - Security Audit Type 11,Product,Box,Carton,235
8097,Cyber Security Services,Security Audit,Cyber Security Services Pack Small - Security Audit Type 12,Product,Bag,Pallet,240
8098,Cyber Security Services,Security Audit,Cyber Security Services Pack Medium - Security Audit Type 13,Product,Unit,Lot,245
8099,Cyber Security Services,Security Audit,Cyber Security Services Pack Large - Security Audit Type 14,Product,License,Subscription,250
8100,Cyber Security Services,Security Audit,Cyber Security Services Kit Starter - Security Audit Type 15,Product,Service,Contract,5
8101,Cyber Security Services,Security Audit,Cyber Security Services Kit Professional - Security Audit Type 16,Product,Ton,MT,10
8102,Cyber Security Services,Security Audit,Cyber Security Services Standard Service - Security Audit Option 1,Service,Per Project,Contract,1
8103,Cyber Security Services,Security Audit,Cyber Security Services Premium Service - Security Audit Option 2,Service,Per Project,Contract,1
8104,Cyber Security Services,Security Audit,Cyber Security Services Consultation - Security Audit Option 3,Service,Per Project,Contract,1
8105,Cyber Security Services,Security Audit,Cyber Security Services Management Service - Security Audit Option 4,Service,Per Project,Contract,1
8106,Cyber Security Services,Security Audit,Cyber Security Services Support Service - Security Audit Option 5,Service,Per Project,Contract,1
8107,Cyber Security Services,Incident Response,Cyber Security Services Product B - Incident Response Type 1,Product,Credit,Pack,40
8108,Cyber Security Services,Incident Response,Cyber Security Services Product C - Incident Response Type 2,Product,Per Filing,Annual,45
8109,Cyber Security Services,Incident Response,Cyber Security Services Item Premium - Incident Response Type 3,Product,Per Month,Annual,50
8110,Cyber Security Services,Incident Response,Cyber Security Services Item Standard - Incident Response Type 4,Product,Per Hour,Monthly,55
8111,Cyber Security Services,Incident Response,Cyber Security Services Item Economy - Incident Response Type 5,Product,Per Project,Contract,60
8112,Cyber Security Services,Incident Response,Cyber Security Services Model X1 - Incident Response Type 6,Product,Per Acre,Per Season,65
8113,Cyber Security Services,Incident Response,Cyber Security Services Model X2 - Incident Response Type 7,Product,Per Day,Monthly,70
8114,Cyber Security Services,Incident Response,Cyber Security Services Model Pro - Incident Response Type 8,Product,Per Sample,Batch,75
8115,Cyber Security Services,Incident Response,Cyber Security Services Solution Basic - Incident Response Type 9,Product,Per Trip,Contract,80
8116,Cyber Security Services,Incident Response,Cyber Security Services Solution Advanced - Incident Response Type 10,Product,Per Formula,Contract,85
8117,Cyber Security Services,Incident Response,Cyber Security Services Solution Enterprise - Incident Response Type 11,Product,Per Animal,Annual,90
8118,Cyber Security Services,Incident Response,Cyber Security Services Pack Small - Incident Response Type 12,Product,Sheet,Box,95
8119,Cyber Security Services,Incident Response,Cyber Security Services Pack Medium - Incident Response Type 13,Product,Roll,Pallet,100
8120,Cyber Security Services,Incident Response,Cyber Security Services Pack Large - Incident Response Type 14,Product,Sqft,Sqmt,105
8121,Cyber Security Services,Incident Response,Cyber Security Services Kit Starter - Incident Response Type 15,Product,Sqmt,Acre,110
8122,Cyber Security Services,Incident Response,Cyber Security Services Kit Professional - Incident Response Type 16,Product,Kg,Ton,115
8123,Cyber Security Services,Incident Response,Cyber Security Services Standard Service - Incident Response Option 1,Service,Per Project,Contract,1
8124,Cyber Security Services,Incident Response,Cyber Security Services Premium Service - Incident Response Option 2,Service,Per Project,Contract,1
8125,Cyber Security Services,Incident Response,Cyber Security Services Consultation - Incident Response Option 3,Service,Per Project,Contract,1
8126,Cyber Security Services,Incident Response,Cyber Security Services Management Service - Incident Response Option 4,Service,Per Project,Contract,1
8127,Cyber Security Services,Incident Response,Cyber Security Services Support Service - Incident Response Option 5,Service,Per Project,Contract,1
8128,Cyber Security Services,SOC Services,Cyber Security Services Product B - SOC Services Type 1,Product,Bag,Pallet,145
8129,Cyber Security Services,SOC Services,Cyber Security Services Product C - SOC Services Type 2,Product,Unit,Lot,150
8130,Cyber Security Services,SOC Services,Cyber Security Services Item Premium - SOC Services Type 3,Product,License,Subscription,155
8131,Cyber Security Services,SOC Services,Cyber Security Services Item Standard - SOC Services Type 4,Product,Service,Contract,160
8132,Cyber Security Services,SOC Services,Cyber Security Services Item Economy - SOC Services Type 5,Product,Ton,MT,165
8133,Cyber Security Services,SOC Services,Cyber Security Services Model X1 - SOC Services Type 6,Product,Pack,Carton,170
8134,Cyber Security Services,SOC Services,Cyber Security Services Model X2 - SOC Services Type 7,Product,Gram,Kg,175
8135,Cyber Security Services,SOC Services,Cyber Security Services Model Pro - SOC Services Type 8,Product,Can,Pallet,180
8136,Cyber Security Services,SOC Services,Cyber Security Services Solution Basic - SOC Services Type 9,Product,Book,Box,185
8137,Cyber Security Services,SOC Services,Cyber Security Services Solution Advanced - SOC Services Type 10,Product,Certificate,Lot,190
8138,Cyber Security Services,SOC Services,Cyber Security Services Solution Enterprise - SOC Services Type 11,Product,Credit,Pack,195
8139,Cyber Security Services,SOC Services,Cyber Security Services Pack Small - SOC Services Type 12,Product,Per Filing,Annual,200
8140,Cyber Security Services,SOC Services,Cyber Security Services Pack Medium - SOC Services Type 13,Product,Per Month,Annual,205
8141,Cyber Security Services,SOC Services,Cyber Security Services Pack Large - SOC Services Type 14,Product,Per Hour,Monthly,210
8142,Cyber Security Services,SOC Services,Cyber Security Services Kit Starter - SOC Services Type 15,Product,Per Project,Contract,215
8143,Cyber Security Services,SOC Services,Cyber Security Services Kit Professional - SOC Services Type 16,Product,Per Acre,Per Season,220
8144,Cyber Security Services,SOC Services,Cyber Security Services Standard Service - SOC Services Option 1,Service,Per Project,Contract,1
8145,Cyber Security Services,SOC Services,Cyber Security Services Premium Service - SOC Services Option 2,Service,Per Project,Contract,1
8146,Cyber Security Services,SOC Services,Cyber Security Services Consultation - SOC Services Option 3,Service,Per Project,Contract,1
8147,Cyber Security Services,SOC Services,Cyber Security Services Management Service - SOC Services Option 4,Service,Per Project,Contract,1
8148,Cyber Security Services,SOC Services,Cyber Security Services Support Service - SOC Services Option 5,Service,Per Project,Contract,1
8149,Cyber Security Services,Endpoint Security,Cyber Security Services Product B - Endpoint Security Type 1,Product,Sheet,Box,250
8150,Cyber Security Services,Endpoint Security,Cyber Security Services Product C - Endpoint Security Type 2,Product,Roll,Pallet,5
8151,Cyber Security Services,Endpoint Security,Cyber Security Services Item Premium - Endpoint Security Type 3,Product,Sqft,Sqmt,10
8152,Cyber Security Services,Endpoint Security,Cyber Security Services Item Standard - Endpoint Security Type 4,Product,Sqmt,Acre,15
8153,Cyber Security Services,Endpoint Security,Cyber Security Services Item Economy - Endpoint Security Type 5,Product,Kg,Ton,20
8154,Cyber Security Services,Endpoint Security,Cyber Security Services Model X1 - Endpoint Security Type 6,Product,Litre,Barrel,25
8155,Cyber Security Services,Endpoint Security,Cyber Security Services Model X2 - Endpoint Security Type 7,Product,Piece,Dozen,30
8156,Cyber Security Services,Endpoint Security,Cyber Security Services Model Pro - Endpoint Security Type 8,Product,Set,Lot,35
8157,Cyber Security Services,Endpoint Security,Cyber Security Services Solution Basic - Endpoint Security Type 9,Product,Meter,Roll,40
8158,Cyber Security Services,Endpoint Security,Cyber Security Services Solution Advanced - Endpoint Security Type 10,Product,Box,Carton,45
8159,Cyber Security Services,Endpoint Security,Cyber Security Services Solution Enterprise - Endpoint Security Type 11,Product,Bag,Pallet,50
8160,Cyber Security Services,Endpoint Security,Cyber Security Services Pack Small - Endpoint Security Type 12,Product,Unit,Lot,55
8161,Cyber Security Services,Endpoint Security,Cyber Security Services Pack Medium - Endpoint Security Type 13,Product,License,Subscription,60
8162,Cyber Security Services,Endpoint Security,Cyber Security Services Pack Large - Endpoint Security Type 14,Product,Service,Contract,65
8163,Cyber Security Services,Endpoint Security,Cyber Security Services Kit Starter - Endpoint Security Type 15,Product,Ton,MT,70
8164,Cyber Security Services,Endpoint Security,Cyber Security Services Kit Professional - Endpoint Security Type 16,Product,Pack,Carton,75
8165,Cyber Security Services,Endpoint Security,Cyber Security Services Standard Service - Endpoint Security Option 1,Service,Per Project,Contract,1
8166,Cyber Security Services,Endpoint Security,Cyber Security Services Premium Service - Endpoint Security Option 2,Service,Per Project,Contract,1
8167,Cyber Security Services,Endpoint Security,Cyber Security Services Consultation - Endpoint Security Option 3,Service,Per Project,Contract,1
8168,Cyber Security Services,Endpoint Security,Cyber Security Services Management Service - Endpoint Security Option 4,Service,Per Project,Contract,1
8169,Cyber Security Services,Endpoint Security,Cyber Security Services Support Service - Endpoint Security Option 5,Service,Per Project,Contract,1
8170,Cyber Security Services,Cloud Security,Cyber Security Services Product B - Cloud Security Type 1,Product,Per Filing,Annual,105
8171,Cyber Security Services,Cloud Security,Cyber Security Services Product C - Cloud Security Type 2,Product,Per Month,Annual,110
8172,Cyber Security Services,Cloud Security,Cyber Security Services Item Premium - Cloud Security Type 3,Product,Per Hour,Monthly,115
8173,Cyber Security Services,Cloud Security,Cyber Security Services Item Standard - Cloud Security Type 4,Product,Per Project,Contract,120
8174,Cyber Security Services,Cloud Security,Cyber Security Services Item Economy - Cloud Security Type 5,Product,Per Acre,Per Season,125
8175,Cyber Security Services,Cloud Security,Cyber Security Services Model X1 - Cloud Security Type 6,Product,Per Day,Monthly,130
8176,Cyber Security Services,Cloud Security,Cyber Security Services Model X2 - Cloud Security Type 7,Product,Per Sample,Batch,135
8177,Cyber Security Services,Cloud Security,Cyber Security Services Model Pro - Cloud Security Type 8,Product,Per Trip,Contract,140
8178,Cyber Security Services,Cloud Security,Cyber Security Services Solution Basic - Cloud Security Type 9,Product,Per Formula,Contract,145
8179,Cyber Security Services,Cloud Security,Cyber Security Services Solution Advanced - Cloud Security Type 10,Product,Per Animal,Annual,150
8180,Cyber Security Services,Cloud Security,Cyber Security Services Solution Enterprise - Cloud Security Type 11,Product,Sheet,Box,155
8181,Cyber Security Services,Cloud Security,Cyber Security Services Pack Small - Cloud Security Type 12,Product,Roll,Pallet,160
8182,Cyber Security Services,Cloud Security,Cyber Security Services Pack Medium - Cloud Security Type 13,Product,Sqft,Sqmt,165
8183,Cyber Security Services,Cloud Security,Cyber Security Services Pack Large - Cloud Security Type 14,Product,Sqmt,Acre,170
8184,Cyber Security Services,Cloud Security,Cyber Security Services Kit Starter - Cloud Security Type 15,Product,Kg,Ton,175
8185,Cyber Security Services,Cloud Security,Cyber Security Services Kit Professional - Cloud Security Type 16,Product,Litre,Barrel,180
8186,Cyber Security Services,Cloud Security,Cyber Security Services Standard Service - Cloud Security Option 1,Service,Per Project,Contract,1
8187,Cyber Security Services,Cloud Security,Cyber Security Services Premium Service - Cloud Security Option 2,Service,Per Project,Contract,1
8188,Cyber Security Services,Cloud Security,Cyber Security Services Consultation - Cloud Security Option 3,Service,Per Project,Contract,1
8189,Cyber Security Services,Cloud Security,Cyber Security Services Management Service - Cloud Security Option 4,Service,Per Project,Contract,1
8190,Cyber Security Services,Cloud Security,Cyber Security Services Support Service - Cloud Security Option 5,Service,Per Project,Contract,1
8191,Dairy & Poultry,Fresh Milk,Dairy & Poultry Product B - Fresh Milk Type 1,Product,Unit,Lot,210
8192,Dairy & Poultry,Fresh Milk,Dairy & Poultry Product C - Fresh Milk Type 2,Product,License,Subscription,215
8193,Dairy & Poultry,Fresh Milk,Dairy & Poultry Item Premium - Fresh Milk Type 3,Product,Service,Contract,220
8194,Dairy & Poultry,Fresh Milk,Dairy & Poultry Item Standard - Fresh Milk Type 4,Product,Ton,MT,225
8195,Dairy & Poultry,Fresh Milk,Dairy & Poultry Item Economy - Fresh Milk Type 5,Product,Pack,Carton,230
8196,Dairy & Poultry,Fresh Milk,Dairy & Poultry Model X1 - Fresh Milk Type 6,Product,Gram,Kg,235
8197,Dairy & Poultry,Fresh Milk,Dairy & Poultry Model X2 - Fresh Milk Type 7,Product,Can,Pallet,240
8198,Dairy & Poultry,Fresh Milk,Dairy & Poultry Model Pro - Fresh Milk Type 8,Product,Book,Box,245
8199,Dairy & Poultry,Fresh Milk,Dairy & Poultry Solution Basic - Fresh Milk Type 9,Product,Certificate,Lot,250
8200,Dairy & Poultry,Fresh Milk,Dairy & Poultry Solution Advanced - Fresh Milk Type 10,Product,Credit,Pack,5
8201,Dairy & Poultry,Fresh Milk,Dairy & Poultry Solution Enterprise - Fresh Milk Type 11,Product,Per Filing,Annual,10
8202,Dairy & Poultry,Fresh Milk,Dairy & Poultry Pack Small - Fresh Milk Type 12,Product,Per Month,Annual,15
8203,Dairy & Poultry,Fresh Milk,Dairy & Poultry Pack Medium - Fresh Milk Type 13,Product,Per Hour,Monthly,20
8204,Dairy & Poultry,Fresh Milk,Dairy & Poultry Pack Large - Fresh Milk Type 14,Product,Per Project,Contract,25
8205,Dairy & Poultry,Fresh Milk,Dairy & Poultry Kit Starter - Fresh Milk Type 15,Product,Per Acre,Per Season,30
8206,Dairy & Poultry,Fresh Milk,Dairy & Poultry Kit Professional - Fresh Milk Type 16,Product,Per Day,Monthly,35
8207,Dairy & Poultry,Fresh Milk,Dairy & Poultry Standard Service - Fresh Milk Option 1,Service,Per Project,Contract,1
8208,Dairy & Poultry,Fresh Milk,Dairy & Poultry Premium Service - Fresh Milk Option 2,Service,Per Project,Contract,1
8209,Dairy & Poultry,Fresh Milk,Dairy & Poultry Consultation - Fresh Milk Option 3,Service,Per Project,Contract,1
8210,Dairy & Poultry,Fresh Milk,Dairy & Poultry Management Service - Fresh Milk Option 4,Service,Per Project,Contract,1
8211,Dairy & Poultry,Fresh Milk,Dairy & Poultry Support Service - Fresh Milk Option 5,Service,Per Project,Contract,1
8212,Dairy & Poultry,Paneer,Dairy & Poultry Product B - Paneer Type 1,Product,Roll,Pallet,65
8213,Dairy & Poultry,Paneer,Dairy & Poultry Product C - Paneer Type 2,Product,Sqft,Sqmt,70
8214,Dairy & Poultry,Paneer,Dairy & Poultry Item Premium - Paneer Type 3,Product,Sqmt,Acre,75
8215,Dairy & Poultry,Paneer,Dairy & Poultry Item Standard - Paneer Type 4,Product,Kg,Ton,80
8216,Dairy & Poultry,Paneer,Dairy & Poultry Item Economy - Paneer Type 5,Product,Litre,Barrel,85
8217,Dairy & Poultry,Paneer,Dairy & Poultry Model X1 - Paneer Type 6,Product,Piece,Dozen,90
8218,Dairy & Poultry,Paneer,Dairy & Poultry Model X2 - Paneer Type 7,Product,Set,Lot,95
8219,Dairy & Poultry,Paneer,Dairy & Poultry Model Pro - Paneer Type 8,Product,Meter,Roll,100
8220,Dairy & Poultry,Paneer,Dairy & Poultry Solution Basic - Paneer Type 9,Product,Box,Carton,105
8221,Dairy & Poultry,Paneer,Dairy & Poultry Solution Advanced - Paneer Type 10,Product,Bag,Pallet,110
8222,Dairy & Poultry,Paneer,Dairy & Poultry Solution Enterprise - Paneer Type 11,Product,Unit,Lot,115
8223,Dairy & Poultry,Paneer,Dairy & Poultry Pack Small - Paneer Type 12,Product,License,Subscription,120
8224,Dairy & Poultry,Paneer,Dairy & Poultry Pack Medium - Paneer Type 13,Product,Service,Contract,125
8225,Dairy & Poultry,Paneer,Dairy & Poultry Pack Large - Paneer Type 14,Product,Ton,MT,130
8226,Dairy & Poultry,Paneer,Dairy & Poultry Kit Starter - Paneer Type 15,Product,Pack,Carton,135
8227,Dairy & Poultry,Paneer,Dairy & Poultry Kit Professional - Paneer Type 16,Product,Gram,Kg,140
8228,Dairy & Poultry,Paneer,Dairy & Poultry Standard Service - Paneer Option 1,Service,Per Project,Contract,1
8229,Dairy & Poultry,Paneer,Dairy & Poultry Premium Service - Paneer Option 2,Service,Per Project,Contract,1
8230,Dairy & Poultry,Paneer,Dairy & Poultry Consultation - Paneer Option 3,Service,Per Project,Contract,1
8231,Dairy & Poultry,Paneer,Dairy & Poultry Management Service - Paneer Option 4,Service,Per Project,Contract,1
8232,Dairy & Poultry,Paneer,Dairy & Poultry Support Service - Paneer Option 5,Service,Per Project,Contract,1
8233,Dairy & Poultry,Butter,Dairy & Poultry Product B - Butter Type 1,Product,Per Month,Annual,170
8234,Dairy & Poultry,Butter,Dairy & Poultry Product C - Butter Type 2,Product,Per Hour,Monthly,175
8235,Dairy & Poultry,Butter,Dairy & Poultry Item Premium - Butter Type 3,Product,Per Project,Contract,180
8236,Dairy & Poultry,Butter,Dairy & Poultry Item Standard - Butter Type 4,Product,Per Acre,Per Season,185
8237,Dairy & Poultry,Butter,Dairy & Poultry Item Economy - Butter Type 5,Product,Per Day,Monthly,190
8238,Dairy & Poultry,Butter,Dairy & Poultry Model X1 - Butter Type 6,Product,Per Sample,Batch,195
8239,Dairy & Poultry,Butter,Dairy & Poultry Model X2 - Butter Type 7,Product,Per Trip,Contract,200
8240,Dairy & Poultry,Butter,Dairy & Poultry Model Pro - Butter Type 8,Product,Per Formula,Contract,205
8241,Dairy & Poultry,Butter,Dairy & Poultry Solution Basic - Butter Type 9,Product,Per Animal,Annual,210
8242,Dairy & Poultry,Butter,Dairy & Poultry Solution Advanced - Butter Type 10,Product,Sheet,Box,215
8243,Dairy & Poultry,Butter,Dairy & Poultry Solution Enterprise - Butter Type 11,Product,Roll,Pallet,220
8244,Dairy & Poultry,Butter,Dairy & Poultry Pack Small - Butter Type 12,Product,Sqft,Sqmt,225
8245,Dairy & Poultry,Butter,Dairy & Poultry Pack Medium - Butter Type 13,Product,Sqmt,Acre,230
8246,Dairy & Poultry,Butter,Dairy & Poultry Pack Large - Butter Type 14,Product,Kg,Ton,235
8247,Dairy & Poultry,Butter,Dairy & Poultry Kit Starter - Butter Type 15,Product,Litre,Barrel,240
8248,Dairy & Poultry,Butter,Dairy & Poultry Kit Professional - Butter Type 16,Product,Piece,Dozen,245
8249,Dairy & Poultry,Butter,Dairy & Poultry Standard Service - Butter Option 1,Service,Per Project,Contract,1
8250,Dairy & Poultry,Butter,Dairy & Poultry Premium Service - Butter Option 2,Service,Per Project,Contract,1
8251,Dairy & Poultry,Butter,Dairy & Poultry Consultation - Butter Option 3,Service,Per Project,Contract,1
8252,Dairy & Poultry,Butter,Dairy & Poultry Management Service - Butter Option 4,Service,Per Project,Contract,1
8253,Dairy & Poultry,Butter,Dairy & Poultry Support Service - Butter Option 5,Service,Per Project,Contract,1
8254,Dairy & Poultry,Ghee,Dairy & Poultry Product B - Ghee Type 1,Product,License,Subscription,25
8255,Dairy & Poultry,Ghee,Dairy & Poultry Product C - Ghee Type 2,Product,Service,Contract,30
8256,Dairy & Poultry,Ghee,Dairy & Poultry Item Premium - Ghee Type 3,Product,Ton,MT,35
8257,Dairy & Poultry,Ghee,Dairy & Poultry Item Standard - Ghee Type 4,Product,Pack,Carton,40
8258,Dairy & Poultry,Ghee,Dairy & Poultry Item Economy - Ghee Type 5,Product,Gram,Kg,45
8259,Dairy & Poultry,Ghee,Dairy & Poultry Model X1 - Ghee Type 6,Product,Can,Pallet,50
8260,Dairy & Poultry,Ghee,Dairy & Poultry Model X2 - Ghee Type 7,Product,Book,Box,55
8261,Dairy & Poultry,Ghee,Dairy & Poultry Model Pro - Ghee Type 8,Product,Certificate,Lot,60
8262,Dairy & Poultry,Ghee,Dairy & Poultry Solution Basic - Ghee Type 9,Product,Credit,Pack,65
8263,Dairy & Poultry,Ghee,Dairy & Poultry Solution Advanced - Ghee Type 10,Product,Per Filing,Annual,70
8264,Dairy & Poultry,Ghee,Dairy & Poultry Solution Enterprise - Ghee Type 11,Product,Per Month,Annual,75
8265,Dairy & Poultry,Ghee,Dairy & Poultry Pack Small - Ghee Type 12,Product,Per Hour,Monthly,80
8266,Dairy & Poultry,Ghee,Dairy & Poultry Pack Medium - Ghee Type 13,Product,Per Project,Contract,85
8267,Dairy & Poultry,Ghee,Dairy & Poultry Pack Large - Ghee Type 14,Product,Per Acre,Per Season,90
8268,Dairy & Poultry,Ghee,Dairy & Poultry Kit Starter - Ghee Type 15,Product,Per Day,Monthly,95
8269,Dairy & Poultry,Ghee,Dairy & Poultry Kit Professional - Ghee Type 16,Product,Per Sample,Batch,100
8270,Dairy & Poultry,Ghee,Dairy & Poultry Standard Service - Ghee Option 1,Service,Per Project,Contract,1
8271,Dairy & Poultry,Ghee,Dairy & Poultry Premium Service - Ghee Option 2,Service,Per Project,Contract,1
8272,Dairy & Poultry,Ghee,Dairy & Poultry Consultation - Ghee Option 3,Service,Per Project,Contract,1
8273,Dairy & Poultry,Ghee,Dairy & Poultry Management Service - Ghee Option 4,Service,Per Project,Contract,1
8274,Dairy & Poultry,Ghee,Dairy & Poultry Support Service - Ghee Option 5,Service,Per Project,Contract,1
8275,Dairy & Poultry,Curd,Dairy & Poultry Product B - Curd Type 1,Product,Sqft,Sqmt,130
8276,Dairy & Poultry,Curd,Dairy & Poultry Product C - Curd Type 2,Product,Sqmt,Acre,135
8277,Dairy & Poultry,Curd,Dairy & Poultry Item Premium - Curd Type 3,Product,Kg,Ton,140
8278,Dairy & Poultry,Curd,Dairy & Poultry Item Standard - Curd Type 4,Product,Litre,Barrel,145
8279,Dairy & Poultry,Curd,Dairy & Poultry Item Economy - Curd Type 5,Product,Piece,Dozen,150
8280,Dairy & Poultry,Curd,Dairy & Poultry Model X1 - Curd Type 6,Product,Set,Lot,155
8281,Dairy & Poultry,Curd,Dairy & Poultry Model X2 - Curd Type 7,Product,Meter,Roll,160
8282,Dairy & Poultry,Curd,Dairy & Poultry Model Pro - Curd Type 8,Product,Box,Carton,165
8283,Dairy & Poultry,Curd,Dairy & Poultry Solution Basic - Curd Type 9,Product,Bag,Pallet,170
8284,Dairy & Poultry,Curd,Dairy & Poultry Solution Advanced - Curd Type 10,Product,Unit,Lot,175
8285,Dairy & Poultry,Curd,Dairy & Poultry Solution Enterprise - Curd Type 11,Product,License,Subscription,180
8286,Dairy & Poultry,Curd,Dairy & Poultry Pack Small - Curd Type 12,Product,Service,Contract,185
8287,Dairy & Poultry,Curd,Dairy & Poultry Pack Medium - Curd Type 13,Product,Ton,MT,190
8288,Dairy & Poultry,Curd,Dairy & Poultry Pack Large - Curd Type 14,Product,Pack,Carton,195
8289,Dairy & Poultry,Curd,Dairy & Poultry Kit Starter - Curd Type 15,Product,Gram,Kg,200
8290,Dairy & Poultry,Curd,Dairy & Poultry Kit Professional - Curd Type 16,Product,Can,Pallet,205
8291,Dairy & Poultry,Curd,Dairy & Poultry Standard Service - Curd Option 1,Service,Per Project,Contract,1
8292,Dairy & Poultry,Curd,Dairy & Poultry Premium Service - Curd Option 2,Service,Per Project,Contract,1
8293,Dairy & Poultry,Curd,Dairy & Poultry Consultation - Curd Option 3,Service,Per Project,Contract,1
8294,Dairy & Poultry,Curd,Dairy & Poultry Management Service - Curd Option 4,Service,Per Project,Contract,1
8295,Dairy & Poultry,Curd,Dairy & Poultry Support Service - Curd Option 5,Service,Per Project,Contract,1
8296,Dairy & Poultry,Cream,Dairy & Poultry Product B - Cream Type 1,Product,Per Hour,Monthly,235
8297,Dairy & Poultry,Cream,Dairy & Poultry Product C - Cream Type 2,Product,Per Project,Contract,240
8298,Dairy & Poultry,Cream,Dairy & Poultry Item Premium - Cream Type 3,Product,Per Acre,Per Season,245
8299,Dairy & Poultry,Cream,Dairy & Poultry Item Standard - Cream Type 4,Product,Per Day,Monthly,250
8300,Dairy & Poultry,Cream,Dairy & Poultry Item Economy - Cream Type 5,Product,Per Sample,Batch,5
8301,Dairy & Poultry,Cream,Dairy & Poultry Model X1 - Cream Type 6,Product,Per Trip,Contract,10
8302,Dairy & Poultry,Cream,Dairy & Poultry Model X2 - Cream Type 7,Product,Per Formula,Contract,15
8303,Dairy & Poultry,Cream,Dairy & Poultry Model Pro - Cream Type 8,Product,Per Animal,Annual,20
8304,Dairy & Poultry,Cream,Dairy & Poultry Solution Basic - Cream Type 9,Product,Sheet,Box,25
8305,Dairy & Poultry,Cream,Dairy & Poultry Solution Advanced - Cream Type 10,Product,Roll,Pallet,30
8306,Dairy & Poultry,Cream,Dairy & Poultry Solution Enterprise - Cream Type 11,Product,Sqft,Sqmt,35
8307,Dairy & Poultry,Cream,Dairy & Poultry Pack Small - Cream Type 12,Product,Sqmt,Acre,40
8308,Dairy & Poultry,Cream,Dairy & Poultry Pack Medium - Cream Type 13,Product,Kg,Ton,45
8309,Dairy & Poultry,Cream,Dairy & Poultry Pack Large - Cream Type 14,Product,Litre,Barrel,50
8310,Dairy & Poultry,Cream,Dairy & Poultry Kit Starter - Cream Type 15,Product,Piece,Dozen,55
